,SMILES,LogS (Format),cLogS,SD,Reference,Overlapping
0,CC(=O)c1cccc(N)c1,-1.28,-0.909194376580811,0.0,Tetko et al. 2001,Overlap
4,CCCC(=O)OCC,-1.28,-1.004685396788213,0.04476825326054169,Tetko et al. 2001,Overlap
15,CC(Cl)Cl,-1.29,-1.0322410313898538,0.0943847733717915,Tetko et al. 2001,Overlap
25,COc1ccc(NC(C)=O)cc1,-1.3,-1.8029586776937223,0.13900324508031153,Tetko et al. 2001,Overlap
33,ClCCBr,-1.32,-1.2929243157020158,0.0010176770935157457,Tetko et al. 2001,Overlap
43,CC(=O)Nc1ccccc1,-1.33,-1.2161159387988345,0.03895912776697692,Tetko et al. 2001,Overlap
54,CCCCC(=O)OC,-1.36,-1.3279581196820334,0.006412106604783724,Tetko et al. 2001,Overlap
64,NC(=[NH2+])N[N+]([O-])=O,-1.37,-1.2506836111582218,0.002102719327782067,Tetko et al. 2001,New
71,Nc1cccc(Cl)c1,-1.37,-1.255691777662422,0.0015709162223930284,Tetko et al. 2001,Overlap
80,CCC1(CC)C(=O)NC(=O)NC1=O,-1.39,-1.3933161767073348,0.3891341667047108,Tetko et al. 2001,New
92,CC[NH+](CC)CCOC(=O)c1ccc(N)cc1,-1.4,-1.6786658216459756,0.23461280481213767,Tetko et al. 2001,Overlap
103,CC(=O)Nc1ccccc1Cl,-1.4,-1.7685313807619514,4.0824829046381805e-05,Tetko et al. 2001,Overlap
109,[O-]C(=O)CCc1ccccc1,-1.41,-1.714309843037965,0.07510123960678804,Tetko et al. 2001,Overlap
116,c1ccc(nc1)-c1ccccn1,-1.42,-0.9676703959996382,0.00046521884251245335,Tetko et al. 2001,Overlap
124,[O-]C(=O)c1ccsc1,-1.47,-1.8214503059765168,0.0021239703387759402,Tetko et al. 2001,Overlap
132,ClCC(Cl)Cl,-1.48,-1.399076859943425,0.005476576383918019,Tetko et al. 2001,Overlap
142,COc1ccc(C=O)cc1,-1.49,-1.8146912600565008,0.005733178292477347,Tetko et al. 2001,Overlap
152,ClCCS(=O)(=O)CCCl,-1.5,-1.5440877686406058,0.0015874507866387724,Tetko et al. 2001,Overlap
160,NC(=[NH2+])NCC([O-])=O,-1.51,-1.2120987142511097,0.0010000000000000009,Tetko et al. 2001,Overlap
164,Nc1ccccc1C([O-])=O,-1.52,-1.8623338419220377,0.037798353611159886,Tetko et al. 2001,Overlap
172,COc1ccc2CC3C4C=CC(O)C5Oc1c2C45CC[NH+]3C,-1.52,-1.7934131486158291,0.2528490986075818,Tetko et al. 2001,Overlap
182,c1cc(ccn1)-c1ccncc1,-1.54,-0.7880600707200847,0.0011109841197270535,Tetko et al. 2001,Overlap
190,[O-]C(=O)c1ccccc1,-1.55,-1.6346372714699886,0.623235653711193,Tetko et al. 2001,New
202,C[NH+]1CCCCC1C(=O)Nc1c(C)cccc1C,-1.55,-1.179204690773696,0.1561296965437938,Tetko et al. 2001,Overlap
210,CSc1cnc2cncnc2n1,-1.55,-1.437770044502971,0.0,Tetko et al. 2001,Overlap
213,Oc1ccc(Cl)cc1Cl,-1.55,-1.9055550444355245,0.0048847836299175775,Tetko et al. 2001,Overlap
222,CCCCC(=O)CC(C)=O,-1.56,-0.8742373908719998,0.0,Tetko et al. 2001,New
225,COc1cc(CC=C)ccc1O,-1.56,-1.9614329847212049,0.09323015683166656,Tetko et al. 2001,Overlap
233,CN1C(=O)NC2=C(NC(=O)N2)C1=O,-1.56,-2.894324759020051,0.0007229568912919716,Tetko et al. 2001,Overlap
239,Cc1cc(O)ccc1Cl,-1.57,-1.789922933138009,0.03898335725482279,Tetko et al. 2001,Overlap
247,CNC(=O)Oc1ccccc1C1OCCO1,-1.57,-1.2136614644839536,0.0004484541349024076,Tetko et al. 2001,Overlap
256,CC(=O)Nc1ccc(C=O)cc1,-1.58,-1.814466989182424,0.022360679774997817,Tetko et al. 2001,Overlap
261,COC(=O)c1ccc(N)cc1,-1.59,-2.145350561313029,0.19230184606498188,Tetko et al. 2001,Overlap
266,CC(Cl)CCl,-1.6,-1.5025220754531017,0.006925067187800826,Tetko et al. 2001,Overlap
276,CC(C)CC(=O)CC(C)=O,-1.6,-0.9405453010110384,0.0,Tetko et al. 2001,New
280,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,-1.6,-1.359923727702791,0.21521853484650735,Tetko et al. 2001,Overlap
292,[O-]C(=O)c1ccccc1C(F)(F)F,-1.6,-1.7218908032336269,0.001071380951322701,Tetko et al. 2001,Overlap
300,CN(C)C(=O)Nc1ccccc1,-1.6,-1.4989509190777135,0.07889550754707843,Tetko et al. 2001,Overlap
309,CC(=O)Nc1ccc(cc1)S(N)(=O)=O,-1.61,-1.518151913936479,0.29999999999999993,Tetko et al. 2001,Overlap
313,COc1ccc(CC2[NH2+]CC(O)C2OC(C)=O)cc1,-1.61,-1.9950005766356813,0.0011319231422672136,Tetko et al. 2001,Overlap
321,CNC(=O)ON=C(CSC)C(C)(C)C,-1.62,-1.6128387471615908,0.001533605048389013,Tetko et al. 2001,Overlap
330,ClC(Cl)C(=O)N(CC=C)CC=C,-1.62,-1.3966729565119145,0.0004749060057377372,Tetko et al. 2001,Overlap
338,ClCCCCl,-1.62,-0.9577237353767508,0.003823915968393331,Tetko et al. 2001,Overlap
348,O=Cc1ccc2OCOc2c1,-1.63,-2.034901484587889,0.0010728984626287746,Tetko et al. 2001,Overlap
357,ClC(Cl)=C,-1.64,-1.558496485195646,0.012245180457814569,Tetko et al. 2001,Overlap
366,O=C1[N-]S(=O)(=O)c2ccccc12,-1.64,-1.909279974774204,0.03399614951458746,Tetko et al. 2001,Overlap
377,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.64,-2.099558420289944,0.019205323336107773,Tetko et al. 2001,Overlap
387,Nc1ccc(Cl)cc1,-1.66,-1.4355292596545053,0.07567205560839484,Tetko et al. 2001,Overlap
396,CCCC(C)(COC(N)=O)COC(N)=O,-1.67,-1.3084117861550355,0.06857780253113979,Tetko et al. 2001,Overlap
410,CC(=O)OC1CCCCC1,-1.67,-2.077634705561029,0.010000000000000009,Tetko et al. 2001,Overlap
414,[O-]C(=O)c1cccc(c1)[N+]([O-])=O,-1.68,-2.117710962554488,0.05104631339392797,Tetko et al. 2001,Overlap
423,BrCCBr,-1.68,-1.6291497809408009,0.024681157905486455,Tetko et al. 2001,Overlap
433,COc1c(Cl)ccc(Cl)c1C([O-])=O,-1.7,-1.9896555228472907,0.11662050527244337,Tetko et al. 2001,Overlap
443,FC(F)(F)C(Cl)Br,-1.71,-1.7348462939961655,0.1191464683030551,Tetko et al. 2001,Overlap
454,CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-1.71,-1.6297283228402268,0.0012018504251546643,Tetko et al. 2001,Overlap
463,Oc1ccc(O)c(c1)C1(O)C=CC(=O)C=C1,-1.73,-1.4803996501335528,0.0,Tetko et al. 2001,Overlap
466,[O-]c1ccccc1[N+]([O-])=O,-1.74,-1.9894002635650616,0.003665302776639964,Tetko et al. 2001,Overlap
475,ClC(Cl)C(Cl)Cl,-1.74,-1.8539095985040888,0.010129150851364427,Tetko et al. 2001,Overlap
487,Cc1ccc(cc1)S(N)(=O)=O,-1.74,-1.5151583375143658,0.0030387967543561998,Tetko et al. 2001,Overlap
495,CCCCC(=O)OCC,-1.75,-1.5962880513698872,0.16520907965363163,Tetko et al. 2001,Overlap
504,CSc1ncc2nccnc2n1,-1.76,-1.2728724107621945,0.24652004989452678,Tetko et al. 2001,Overlap
510,NC(=O)c1ccccc1O,-1.76,-1.4001017448569448,0.035216321758267416,Tetko et al. 2001,Overlap
522,CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,-1.76,-1.2235108311247047,0.013749942148638629,Tetko et al. 2001,Overlap
533,CC=CC=CC([O-])=O,-1.77,-1.2589931768528757,0.04974362717418632,Tetko et al. 2001,Overlap
543,NC(=S)Nc1ccccc1,-1.77,-1.8060558694583928,0.010316664743441638,Tetko et al. 2001,Overlap
551,O=C1CSC(=S)N1,-1.77,-1.3079889421112034,0.0011034038245356847,Tetko et al. 2001,Overlap
560,COC(=O)c1ccc(O)cc1,-1.78,-2.0084340859248604,0.03127572718756687,Tetko et al. 2001,Overlap
569,CCCOC(=O)c1cc(O)c(O)c(O)c1,-1.78,-1.723011607920496,0.0015533374207998014,Tetko et al. 2001,Overlap
576,CC(=O)Nc1ccc(F)cc1,-1.78,-1.661487387280263,0.06940220937885669,Tetko et al. 2001,Overlap
582,[O-][N+](=O)c1ccccc1,-1.8,-1.712181056205659,0.019983351403939583,Tetko et al. 2001,Overlap
592,CNC(=O)Oc1cccc(C)c1,-1.8,-1.845517305440444,0.001549193338482911,Tetko et al. 2001,Overlap
598,Oc1ccccc1C([O-])=O,-1.82,-1.6126444340390758,0.49578253686836976,Tetko et al. 2001,New
610,CN1N=C(SC1=NC(C)=O)S(N)(=O)=O,-1.83,-1.9131673365915352,0.03995244047614612,Tetko et al. 2001,Overlap
619,CC12C3C(C([O-])=O)C45CC(=C)C(O)(C4)CCC5C3(OC1=O)C=CC2O,-1.84,-2.5654209021291545,0.0004472135954999087,Tetko et al. 2001,Overlap
624,CCCC(CCC)C([O-])=O,-1.86,-2.211909539397495,0.0009258200997725524,Tetko et al. 2001,New
632,COc1ccc2CCC34C=CC(=O)CC3(CC[NH+]4C)c2c1O,-1.87,-1.6694631576604977,0.0,Tetko et al. 2001,New
634,C1CC[NH+]2CC3CC(C[NH+]4CCCCC34)C2C1,-1.89,-0.5346937610955567,0.0015861003391066115,Tetko et al. 2001,Overlap
